"Province_State","Country_Region","Confirmed","Incidence_Rate"
"La Guajira","Colombia",5266,598.028527300809
"Magdalena","Colombia",12529,933.783294304585
"Meta","Colombia",9327,897.066715910599
"Narino","Colombia",14337,879.251216736008
"Norte de Santander","Colombia",12047,807.608020170424
"Putumayo","Colombia",3005,863.054379606068
"Quindio","Colombia",1344,248.933143669986
"Risaralda","Colombia",6500,688.996513677641
"San Andres y Providencia","Colombia",219,427.545691906005
"Santander","Colombia",19088,873.65785182144
"Sucre","Colombia",11778,1301.63350695078
"Tolima","Colombia",7445,559.695742027249
"Valle del Cauca","Colombia",47658,1064.77242717978
"Vaupes","Colombia",340,833.394612348947
"Vichada","Colombia",114,105.743544078362
NA,"Comoros",427,49.1033182113513
NA,"Congo (Brazzaville)",3979,72.1082577093677
NA,"Congo (Kinshasa)",10104,11.2816453837637
NA,"Costa Rica",42184,828.092971613906
NA,"Cote d'Ivoire",18103,68.6284451883226
NA,"Croatia",10414,253.674059769058
NA,"Cuba",4065,35.888918632008
NA,"Cyprus",1490,123.409651297334
NA,"Czechia",25117,234.541434470615
"Faroe Islands","Denmark",411,841.092806712371
"Greenland","Denmark",14,24.660043683506
NA,"Denmark",17084,294.948226089452
NA,"Diamond Princess",712,NA
NA,"Djibouti",5387,545.241811251394
NA,"Dominica",20,27.781250434082
NA,"Dominican Republic",94979,875.551627300537
NA,"Ecuador",114309,647.897813644572
NA,"Egypt",99115,96.8540364670911
NA,"El Salvador",25820,398.075853646842
NA,"Equatorial Guinea",4965,353.888316696187
NA,"Eritrea",319,8.99496873895896
NA,"Estonia",2395,180.545012246153
NA,"Eswatini",4618,398.047172641109
NA,"Ethiopia",53304,46.3659870447844
NA,"Fiji",29,3.23500408279826
NA,"Finland",8142,146.948464079926
"French Guiana","France",9154,3064.79801260203
"French Polynesia","France",573,203.984279326745
"Guadeloupe","France",1269,317.149305095632
"Martinique","France",747,199.059331405807
"Mayotte","France",3301,1209.98632763101
"New Caledonia","France",23,8.05629599532034
"Reunion","France",1714,191.442498000688
"Saint Barthelemy","France",18,182.094081942337
"Saint Pierre and Miquelon","France",5,86.2812769628991
"St Martin","France",213,550.971313277633
NA,"France",309247,470.253538678905
NA,"Gabon",8533,383.380179428933
NA,"Gambia",3029,125.338069338559
NA,"Georgia",1510,37.8524381607726
"Baden-Wurttemberg","Germany",42365,382.717139015711
"Bayern","Germany",57620,440.630338446465
"Berlin","Germany",11346,311.290580126459
"Brandenburg","Germany",3911,155.697819633372
"Bremen","Germany",2018,295.467257015517
"Hamburg","Germany",6312,342.823810178152
"Hessen","Germany",15596,248.906406179952
"Mecklenburg-Vorpommern","Germany",1009,62.6834609470856
"Niedersachsen","Germany",16837,210.925270042473
"Nordrhein-Westfalen","Germany",59023,329.137058430457
"Rheinland-Pfalz","Germany",9128,223.460185994863
"Saarland","Germany",3154,318.422144574153
"Sachsen","Germany",6013,147.452008209053
"Sachsen-Anhalt","Germany",2253,102.023211299444
"Schleswig-Holstein","Germany",4063,140.262476904849
"Thuringen","Germany",3637,169.70386978016
"Unknown","Germany",1730,NA
NA,"Ghana",44460,143.082672080165
NA,"Greece",10524,100.968468364748
NA,"Grenada",24,21.329730978768
NA,"Guatemala",74893,418.033099371066
NA,"Guinea",9479,72.1781019603448
NA,"Guinea-Bissau",2205,112.04279679146
NA,"Guyana",1373,174.557789053332
NA,"Haiti",8224,72.1769452454117
NA,"Holy See",12,1483.31273176761
NA,"Honduras",61769,623.639017313961
