"Province_State","Country_Region","Confirmed","Incidence_Rate"
NA,"Trinidad and Tobago",1797,128.403826819894
NA,"Tunisia",3963,33.531839340268
NA,"Turkey",271705,322.157938977437
NA,"Uganda",3037,6.63955750858092
"Cherkasy Oblast","Ukraine",1594,132.1340140639
"Chernihiv Oblast","Ukraine",1941,192.991265181532
"Chernivtsi Oblast","Ukraine",10420,1152.1781917658
"Crimea Republic*","Ukraine",2453,128.178934238929
"Dnipropetrovsk Oblast","Ukraine",2398,74.7861282023854
"Donetsk Oblast","Ukraine",1448,34.7583872012321
"Ivano-Frankivsk Oblast","Ukraine",9348,680.719926131548
"Kharkiv Oblast","Ukraine",9338,349.006091348551
"Kherson Oblast","Ukraine",400,38.5490150726649
"Khmelnytskyi Oblast","Ukraine",2519,199.176883146663
"Kiev","Ukraine",13546,459.061949301884
"Kiev Oblast","Ukraine",5755,325.520096835865
"Kirovohrad Oblast","Ukraine",816,86.29907069861
"Luhansk Oblast","Ukraine",320,14.8710425019042
"Lviv Oblast","Ukraine",14703,582.984836367342
"Mykolaiv Oblast","Ukraine",1284,50.9115506968419
"Odessa Oblast","Ukraine",7494,314.833206458996
"Poltava Oblast","Ukraine",808,57.6961938363613
"Rivne Oblast","Ukraine",9269,800.915232942856
"Sevastopol*","Ukraine",523,118.002486400383
"Sumy Oblast","Ukraine",1532,141.665849837898
"Ternopil Oblast","Ukraine",6194,592.229120194592
"Vinnytsia Oblast","Ukraine",4044,259.165313375981
"Volyn Oblast","Ukraine",5523,533.453101909536
"Zakarpattia Oblast","Ukraine",7600,604.709413256822
"Zaporizhia Oblast","Ukraine",1627,95.3784537317773
"Zhytomyr Oblast","Ukraine",3382,277.169267484734
NA,"United Arab Emirates",70805,715.896222599693
"Anguilla","United Kingdom",3,19.9973336888415
"Bermuda","United Kingdom",172,276.203169913124
"British Virgin Islands","United Kingdom",47,155.438700929325
"Cayman Islands","United Kingdom",205,311.929397443701
"Channel Islands","United Kingdom",630,369.503633452396
"England","United Kingdom",291179,520.174285244707
"Falkland Islands (Malvinas)","United Kingdom",13,373.241458512776
"Gibraltar","United Kingdom",290,860.764002255795
"Isle of Man","United Kingdom",336,395.145357042055
"Montserrat","United Kingdom",13,260.05201040208
"Northern Ireland","United Kingdom",7294,387.64880952381
"Saint Helena, Ascension and Tristan da Cunha","United Kingdom",0,NA
"Scotland","United Kingdom",20632,377.647209561986
"Turks and Caicos Islands","United Kingdom",538,1389.5345833979
"Unknown","United Kingdom",0,NA
"Wales","United Kingdom",18063,575.511374498184
NA,"Uruguay",1611,46.3767014506321
NA,"Uzbekistan",42127,125.86796594684
NA,"Venezuela",47756,167.942381935426
NA,"Vietnam",1044,1.07254489209073
NA,"West Bank and Gaza",23281,456.363488098206
NA,"Yemen",1962,6.57816034671532
NA,"Zambia",12381,67.3467669309043
NA,"Zimbabwe",6559,44.1299348371959
"Unknown","China",0,0
